Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1490000000,-2850000000,221000000,220000000
minorityInterest,726000000,969000000,974000000,1259000000
netIncome,559000000,-3093000000,-408000000,-282000000
sellingGeneralAdministrative,1569000000,1550000000,1604000000,1516000000
grossProfit,5267000000,3660000000,4575000000,4381000000
ebit,2087000000,-259000000,694000000,755000000
operatingIncome,2087000000,-259000000,694000000,755000000
otherOperatingExpenses,-79000000,-56000000,-78000000,-116000000
interestExpense,-481000000,-468000000,-380000000,-399000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,600000000,-11000000,461000000,335000000
totalRevenue,7301000000,4543000000,6311000000,6152000000
totalOperatingExpenses,5214000000,4802000000,5617000000,5397000000
costOfRevenue,2034000000,883000000,1736000000,1771000000
totalOtherIncomeExpenseNet,-597000000,-2591000000,-473000000,-535000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,890000000,-2839000000,-240000000,-115000000
netIncomeApplicableToCommonShares,559000000,-3093000000,-412000000,-328000000
