Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2896000000,2120000000,2560000000,1753000000
minorityInterest,,,,
netIncome,2365000000,1737000000,2085000000,1807000000
sellingGeneralAdministrative,4721000000,4441000000,4472000000,4234000000
grossProfit,7940000000,6983000000,7642000000,6376000000
ebit,3122000000,2439000000,3013000000,2074000000
operatingIncome,3122000000,2439000000,3013000000,2074000000
otherOperatingExpenses,26000000,31000000,91000000,91000000
interestExpense,-193000000,-207000000,-255000000,-268000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,531000000,383000000,475000000,268000000
totalRevenue,22349000000,20494000000,20736000000,18925000000
totalOperatingExpenses,19227000000,18055000000,17723000000,16851000000
costOfRevenue,14409000000,13511000000,13094000000,12549000000
totalOtherIncomeExpenseNet,-226000000,-319000000,-453000000,-321000000
discontinuedOperations,,,,322000000.0
netIncomeFromContinuingOps,2365000000,1737000000,2085000000,1485000000
netIncomeApplicableToCommonShares,2344000000,1716000000,2064000000,1801000000
