Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,560000000,-924000000,1244000000,1078000000
minorityInterest,2000000,4000000,10000000,7000000
netIncome,410000000,-715000000,881000000,764000000
sellingGeneralAdministrative,390000000,304000000,437000000,454000000
grossProfit,1765000000,980000000,2512000000,2336000000
ebit,1032000000,65000000,1580000000,1421000000
operatingIncome,1032000000,65000000,1580000000,1421000000
otherOperatingExpenses,155000000,280000000,149000000,136000000
interestExpense,-397000000,-429000000,-414000000,-371000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,153000000,-204000000,358000000,309000000
totalRevenue,2444000000,1600000000,3766000000,3668000000
totalOperatingExpenses,1412000000,1535000000,2186000000,2247000000
costOfRevenue,679000000,620000000,1254000000,1332000000
totalOtherIncomeExpenseNet,-472000000,-989000000,-336000000,-343000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,407000000,-720000000,886000000,769000000
netIncomeApplicableToCommonShares,410000000,-715000000,881000000,764000000
