Breakdown,2021-09-25,2020-09-26,2019-09-28,2018-09-29
researchDevelopment,276300000,222500000,232200000,218700000
effectOfAccountingCharges,,,,
incomeBeforeTax,2361100000,1001900000,-257700000,-418600000
minorityInterest,,2100000.0,2100000.0,2100000.0
netIncome,1871500000,1115200000,-203600000,-111300000
sellingGeneralAdministrative,971700000,840300000,897200000,914700000
grossProfit,4074800000,2513300000,2068100000,2016100000
ebit,2485200000,1157600000,568200000,508000000
operatingIncome,2485200000,1157600000,568200000,508000000
otherOperatingExpenses,22700000,22700000,22700000,-4000000
interestExpense,-93600000,-116500000,-140800000,-148700000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,491400000,-108600000,-54100000,-307300000
totalRevenue,5632300000,3776400000,3367300000,3217900000
totalOperatingExpenses,3147100000,2618800000,2799100000,2709900000
costOfRevenue,1557500000,1263100000,1299200000,1201800000
totalOtherIncomeExpenseNet,-124100000,-155700000,-825900000,-926600000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1869700000,1110500000,-203600000,-111300000
netIncomeApplicableToCommonShares,1871500000,1115200000,-203600000,-111300000
