Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7235000000,6012000000,7559000000,7487000000
minorityInterest,680000000,248000000,219000000,185000000
netIncome,5542000000,4779000000,6143000000,6765000000
sellingGeneralAdministrative,3525000000,3814000000,4866000000,4854000000
grossProfit,10998000000,10468000000,12370000000,12756000000
ebit,7473000000,6654000000,7504000000,7902000000
operatingIncome,7473000000,6654000000,7504000000,7902000000
otherOperatingExpenses,,,,
interestExpense,-359000000,-377000000,-376000000,-367000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1625000000,1147000000,1329000000,659000000
totalRevenue,34392000000,32637000000,36709000000,41802000000
totalOperatingExpenses,26919000000,25983000000,29205000000,33900000000
costOfRevenue,23394000000,22169000000,24339000000,29046000000
totalOtherIncomeExpenseNet,-238000000,-642000000,55000000,-415000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5610000000,4865000000,6230000000,6828000000
netIncomeApplicableToCommonShares,5542000000,4779000000,6143000000,6765000000
