Breakdown,2021-10-31,2020-10-31,2019-10-31,2018-10-31
researchDevelopment,1907000000,1478000000,1499000000,1404000000
effectOfAccountingCharges,,,,
incomeBeforeTax,7511000000,3231000000,2523000000,3013000000
minorityInterest,,,,
netIncome,6503000000,2844000000,3152000000,5327000000
sellingGeneralAdministrative,5545000000,4881000000,5290000000,4866000000
grossProfit,13417000000,10437000000,11170000000,10669000000
ebit,5811000000,3965000000,4265000000,4319000000
operatingIncome,5811000000,3965000000,4265000000,4319000000
otherOperatingExpenses,,,,
interestExpense,-254000000,-239000000,-242000000,-312000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1008000000,387000000,-629000000,-2314000000
totalRevenue,63487000000,56639000000,58756000000,58472000000
totalOperatingExpenses,57676000000,52674000000,54491000000,54153000000
costOfRevenue,50070000000,46202000000,47586000000,47803000000
totalOtherIncomeExpenseNet,1700000000,-734000000,-1742000000,-1306000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,6503000000,2844000000,3152000000,5327000000
netIncomeApplicableToCommonShares,6503000000,2844000000,3152000000,5327000000
