Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-102000000,-961000000,962000000,1301000000
minorityInterest,131000000,113000000,148000000,200000000
netIncome,-11000000,-732000000,920000000,1087000000
sellingGeneralAdministrative,99000000,89000000,107000000,104000000
grossProfit,644000000,-164000000,1591000000,1601000000
ebit,-125000000,-918000000,822000000,813000000
operatingIncome,-125000000,-918000000,822000000,813000000
otherOperatingExpenses,,,,
interestExpense,-191000000,-194000000,-222000000,-176000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-91000000,-220000000,30000000,150000000
totalRevenue,2921000000,1590000000,5483000000,5554000000
totalOperatingExpenses,3046000000,2508000000,4661000000,4741000000
costOfRevenue,2277000000,1754000000,3892000000,3953000000
totalOtherIncomeExpenseNet,23000000,-43000000,140000000,488000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,-11000000,-741000000,932000000,1151000000
netIncomeApplicableToCommonShares,-11000000,-732000000,920000000,1087000000
