Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,40107000,37577000,37146000,38521000
effectOfAccountingCharges,,,,
incomeBeforeTax,1797224000,1494997000,1380784000,1410061000
minorityInterest,,3531000.0,5772000.0,8545000.0
netIncome,1477512000,1278708000,1149692000,1177562000
sellingGeneralAdministrative,1965118000,1858457000,1888072000,1817660000
grossProfit,4053818000,3703478000,3622478000,3586648000
ebit,2048593000,1807444000,1697260000,1730467000
operatingIncome,2048593000,1807444000,1697260000,1730467000
otherOperatingExpenses,,,,
interestExpense,-129846000,-153471000,-152122000,-146858000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,314405000,219584000,234032000,239010000
totalRevenue,8971337000,8149719000,7986252000,7791069000
totalOperatingExpenses,6922744000,6342275000,6288992000,6060602000
costOfRevenue,4917519000,4446241000,4363774000,4204421000
totalOtherIncomeExpenseNet,-251369000,-312447000,-316476000,-320406000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1482819000,1275413000,1146752000,1171051000
netIncomeApplicableToCommonShares,1477512000,1278708000,1149692000,1177562000
