Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,17000000,17000000,28000000,41000000
effectOfAccountingCharges,,,,
incomeBeforeTax,324000000,171000000,210000000,428000000
minorityInterest,,,14000000.0,12000000.0
netIncome,258000000,261000000,470000000,642000000
sellingGeneralAdministrative,260000000,296000000,412000000,390000000
grossProfit,1404000000,1422000000,1910000000,1664000000
ebit,857000000,830000000,1175000000,915000000
operatingIncome,857000000,830000000,1175000000,915000000
otherOperatingExpenses,,,,4000000.0
interestExpense,-259000000,-317000000,-338000000,-377000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,66000000,-40000000,84000000,119000000
totalRevenue,4972000000,5259000000,7098000000,6778000000
totalOperatingExpenses,4115000000,4429000000,5923000000,5863000000
costOfRevenue,3568000000,3837000000,5188000000,5114000000
totalOtherIncomeExpenseNet,-533000000,-659000000,-965000000,-487000000
discontinuedOperations,,50000000.0,344000000.0,333000000.0
netIncomeFromContinuingOps,258000000,211000000,126000000,309000000
netIncomeApplicableToCommonShares,256000000,259000000,468000000,640000000
