Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,6488000000,6262000000,5910000000,5379000000
effectOfAccountingCharges,,,,
incomeBeforeTax,4837000000,2572000000,7206000000,11342000000
minorityInterest,95000000,129000000,144000000,134000000
netIncome,5743000000,5590000000,9431000000,8728000000
sellingGeneralAdministrative,19803000000,19586000000,18724000000,19366000000
grossProfit,31486000000,30865000000,31534000000,36937000000
ebit,5772000000,5596000000,7539000000,13218000000
operatingIncome,5772000000,5596000000,7539000000,13218000000
otherOperatingExpenses,-577000000,-579000000,-639000000,-1026000000
interestExpense,-1155000000,-1288000000,-1344000000,-723000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,124000000,-1360000000,60000000,2619000000
totalRevenue,57351000000,55179000000,57714000000,79591000000
totalOperatingExpenses,51579000000,49583000000,50175000000,66373000000
costOfRevenue,25865000000,24314000000,26180000000,42654000000
totalOtherIncomeExpenseNet,-935000000,-3024000000,-333000000,-1876000000
discontinuedOperations,1030000000,1658000000,2285000000,5000000
netIncomeFromContinuingOps,4713000000,3932000000,7146000000,8723000000
netIncomeApplicableToCommonShares,5743000000,5590000000,9431000000,8728000000
