Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,5698000000,2766000000,2481000000,2520000000
minorityInterest,39000000,129000000,109000000,101000000
netIncome,4058000000,2089000000,1933000000,1988000000
sellingGeneralAdministrative,2589000000,2153000000,1865000000,1780000000
grossProfit,7146000000,6036000000,5202000000,4979000000
ebit,3548000000,3143000000,2675000000,2613000000
operatingIncome,3548000000,3143000000,2675000000,2613000000
otherOperatingExpenses,,,,
interestExpense,-423000000,-357000000,-285000000,-244000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1629000000,658000000,521000000,500000000
totalRevenue,7146000000,6036000000,5202000000,4979000000
totalOperatingExpenses,3598000000,2893000000,2527000000,2366000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,2150000000,-377000000,-194000000,-93000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,4069000000,2108000000,1960000000,2020000000
netIncomeApplicableToCommonShares,4058000000,2089000000,1933000000,1988000000
