Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,579800000,470300000,532900000,528939000
minorityInterest,,100000.0,100000.0,100000.0
netIncome,449400000,377800000,425500000,410573000
sellingGeneralAdministrative,572800000,494000000,526800000,534462000
grossProfit,1236100000,1031600000,1128300000,1117895000
ebit,663300000,537600000,601500000,581233000
operatingIncome,663300000,537600000,601500000,581233000
otherOperatingExpenses,,,,2200000.0
interestExpense,-41000000,-44800000,-44300000,-44134000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,130500000,92500000,107400000,118366000
totalRevenue,2764800000,2351600000,2494600000,2483666000
totalOperatingExpenses,2101500000,1814000000,1893100000,1902433000
costOfRevenue,1528700000,1320000000,1366300000,1365771000
totalOtherIncomeExpenseNet,-83500000,-67300000,-68600000,-52294000
discontinuedOperations,,,,
netIncomeFromContinuingOps,449300000,377800000,425500000,410573000
netIncomeApplicableToCommonShares,449400000,377800000,425500000,410573000
