Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,629000000,357000000,346000000,311583000
effectOfAccountingCharges,,,,
incomeBeforeTax,354000000,441000000,557000000,447757000
minorityInterest,140000000,110000000,111287000,92229000
netIncome,270000000,363000000,456000000,337302000
sellingGeneralAdministrative,1474000000,799000000,867000000,678371000
grossProfit,4108000000,2087000000,2113000000,1682707000
ebit,1273000000,745000000,715000000,616874000
operatingIncome,1273000000,745000000,715000000,616874000
otherOperatingExpenses,,-7000000.0,-8000000.0,-8000000.0
interestExpense,-289000000,-132000000,-138000000,-132558000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,75000000,74000000,97000000,107976000
totalRevenue,11656000000,5084000000,5140000000,3977539000
totalOperatingExpenses,10383000000,4339000000,4425000000,3360665000
costOfRevenue,7548000000,2997000000,3027000000,2294832000
totalOtherIncomeExpenseNet,-919000000,-304000000,-158000000,-169117000
discontinuedOperations,,,,
netIncomeFromContinuingOps,279000000,367000000,460000000,339781000
netIncomeApplicableToCommonShares,268000000,365000000,454000000,333454000
