Breakdown,2022-01-02,2021-01-03,2019-12-29,2018-12-30
researchDevelopment,935000000,609000000,575000000,568000000
effectOfAccountingCharges,,,,
incomeBeforeTax,884000000,856000000,1118000000,894000000
minorityInterest,,,,148000000.0
netIncome,762000000,656000000,1002000000,826000000
sellingGeneralAdministrative,1567000000,922000000,907000000,849000000
grossProfit,3225000000,2231000000,2501000000,2335000000
ebit,652000000,672000000,985000000,883000000
operatingIncome,652000000,672000000,985000000,883000000
otherOperatingExpenses,,,,
interestExpense,-61000000,-49000000,-52000000,-57000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,122000000,200000000,128000000,112000000
totalRevenue,4526000000,3239000000,3543000000,3333000000
totalOperatingExpenses,3874000000,2567000000,2558000000,2450000000
costOfRevenue,1301000000,1008000000,1042000000,998000000
totalOtherIncomeExpenseNet,232000000,184000000,133000000,11000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,762000000,656000000,990000000,782000000
netIncomeApplicableToCommonShares,762000000,656000000,1002000000,826000000
