Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,570444000,-232218000,486791000,115347000
minorityInterest,,,,
netIncome,948581000,-295697000,446906000,109493000
sellingGeneralAdministrative,740963000,517872000,469276000,434934000
grossProfit,1340078000,276631000,890399000,589803000
ebit,599115000,-241241000,421123000,154869000
operatingIncome,599115000,-241241000,421123000,154869000
otherOperatingExpenses,,,,
interestExpense,-1908000,-2174000,-1855000,-1543000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-378137000,63479000,39885000,5854000
totalRevenue,2986267000,2666702000,2158759000,1881883000
totalOperatingExpenses,2387152000,2907943000,1737636000,1727014000
costOfRevenue,1646189000,2390071000,1268360000,1292080000
totalOtherIncomeExpenseNet,-28671000,9023000,65668000,-39522000
discontinuedOperations,,,,
netIncomeFromContinuingOps,948581000,-295697000,446906000,109493000
netIncomeApplicableToCommonShares,948581000,-295697000,446906000,109493000
