Breakdown,2021-12-25,2020-12-26,2019-12-28,2018-12-29
researchDevelopment,15190000000,13556000000,13362000000,13543000000
effectOfAccountingCharges,,,,
incomeBeforeTax,21703000000,25078000000,24058000000,23317000000
minorityInterest,,,,
netIncome,19868000000,20899000000,21048000000,21053000000
sellingGeneralAdministrative,6543000000,6180000000,6350000000,6950000000
grossProfit,43815000000,43612000000,42140000000,43737000000
ebit,22082000000,23876000000,22428000000,23244000000
operatingIncome,22082000000,23876000000,22428000000,23244000000
otherOperatingExpenses,,,393000000.0,-72000000.0
interestExpense,-597000000,-629000000,-489000000,-468000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1835000000,4179000000,3010000000,2264000000
totalRevenue,79024000000,77867000000,71965000000,70848000000
totalOperatingExpenses,56942000000,53991000000,49537000000,47604000000
costOfRevenue,35209000000,34255000000,29825000000,27111000000
totalOtherIncomeExpenseNet,-379000000,1202000000,1630000000,73000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,19868000000,20899000000,21048000000,21053000000
netIncomeApplicableToCommonShares,19868000000,20899000000,21048000000,21053000000
