Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1134000000,380000000,343000000,343000000
minorityInterest,,279000000.0,260000000.0,240000000.0
netIncome,966000000,279000000,191000000,259000000
sellingGeneralAdministrative,1931000000,1762000000,1711000000,1692000000
grossProfit,4641000000,3859000000,3788000000,3666000000
ebit,1446000000,810000000,875000000,833000000
operatingIncome,1446000000,810000000,875000000,833000000
otherOperatingExpenses,,,,
interestExpense,-375000000,-416000000,-447000000,-414000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,163000000,72000000,116000000,59000000
totalRevenue,13874000000,11359000000,11088000000,10412000000
totalOperatingExpenses,12428000000,10549000000,10213000000,9579000000
costOfRevenue,9233000000,7500000000,7300000000,6746000000
totalOtherIncomeExpenseNet,-312000000,-430000000,-532000000,-490000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,971000000,308000000,227000000,284000000
netIncomeApplicableToCommonShares,966000000,279000000,191000000,259000000
