Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,629015000,372705000,328142000,410311000
minorityInterest,73527000,59805000,67947000,71941000
netIncome,450219000,342693000,267377000,353933000
sellingGeneralAdministrative,1022559000,947578000,991664000,1006983000
grossProfit,2604302000,2397576000,2429269000,2431807000
ebit,901321000,797929000,779404000,785310000
operatingIncome,901321000,797929000,779404000,785310000
otherOperatingExpenses,,,,
interestExpense,-425302000,-426847000,-425857000,-416201000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,176290000,29609000,59931000,42753000
totalRevenue,4491531000,4147270000,4262584000,4225761000
totalOperatingExpenses,3590210000,3349341000,3483180000,3440451000
costOfRevenue,1887229000,1749694000,1833315000,1793954000
totalOtherIncomeExpenseNet,-272306000,-425224000,-451262000,-374999000
discontinuedOperations,,,104000.0,-12427000.0
netIncomeFromContinuingOps,452725000,343096000,268211000,367558000
netIncomeApplicableToCommonShares,450219000,342693000,267377000,353933000
