Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,501600000,-45400000,110200000,349500000
minorityInterest,69700000,69800000,69800000,69800000
netIncome,562500000,-33300000,159100000,269400000
sellingGeneralAdministrative,1028000000,789300000,409600000,437900000
grossProfit,1988500000,1404900000,778300000,1012500000
ebit,622400000,274400000,260300000,449700000
operatingIncome,622400000,274400000,260300000,449700000
otherOperatingExpenses,5200000,6100000,3100000,-900000
interestExpense,-87700000,-111100000,-88400000,-99600000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-21800000,11400000,12900000,80100000
totalRevenue,5152400000,3973200000,2017500000,2689800000
totalOperatingExpenses,4530000000,3698800000,1757200000,2240100000
costOfRevenue,3163900000,2568300000,1239200000,1677300000
totalOtherIncomeExpenseNet,-120800000,-319800000,-150100000,-100200000
discontinuedOperations,41600000,24400000,61800000,61800000
netIncomeFromContinuingOps,523400000,-56800000,97300000,269400000
netIncomeApplicableToCommonShares,562500000,-33300000,159100000,269400000
