Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,671000000,595100000,557300000,418100000
effectOfAccountingCharges,,,,
incomeBeforeTax,1890300000,1207000000,1502200000,1279500000
minorityInterest,50400000,27600000,20900000,8700000
netIncome,1704600000,1060600000,1379300000,1127900000
sellingGeneralAdministrative,1466500000,1216300000,1178400000,941400000
grossProfit,3958500000,2861200000,3110200000,2604100000
ebit,1821000000,1049800000,1374500000,1244600000
operatingIncome,1821000000,1049800000,1374500000,1244600000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,162200000,140200000,120400000,154500000
totalRevenue,5710100000,4358400000,4478500000,3724200000
totalOperatingExpenses,3889100000,3308600000,3104000000,2479600000
costOfRevenue,1751600000,1497200000,1368300000,1120100000
totalOtherIncomeExpenseNet,69300000,157200000,127700000,34900000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1728100000,1066800000,1381800000,1125000000
netIncomeApplicableToCommonShares,1704600000,1060600000,1379300000,1127900000
