Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3326000000,2704000000,3288000000,3394000000
minorityInterest,1000000,1000000,4000000,4000000
netIncome,2694000000,2109000000,2521000000,2563000000
sellingGeneralAdministrative,2333000000,2150000000,2337000000,2371000000
grossProfit,5966000000,5199000000,5922000000,6164000000
ebit,3500000000,2895000000,3426000000,3604000000
operatingIncome,3500000000,2895000000,3426000000,3604000000
otherOperatingExpenses,,,,
interestExpense,-202000000,-206000000,-221000000,-257000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,632000000,595000000,767000000,831000000
totalRevenue,14455000000,12574000000,14109000000,14768000000
totalOperatingExpenses,10955000000,9679000000,10683000000,11164000000
costOfRevenue,8489000000,7375000000,8187000000,8604000000
totalOtherIncomeExpenseNet,-174000000,-191000000,-138000000,-210000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2694000000,2109000000,2521000000,2563000000
netIncomeApplicableToCommonShares,2694000000,2109000000,2521000000,2563000000
