Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,969870000,326133000,275739000,181121000
minorityInterest,,,,
netIncome,793560000,266745000,233290000,122456000
sellingGeneralAdministrative,2107238000,2039662000,2103995000,1884846000
grossProfit,3289869000,2754379000,2694753000,2506654000
ebit,970226000,495733000,378979000,366207000
operatingIncome,970226000,495733000,378979000,366207000
otherOperatingExpenses,,,,
interestExpense,-98313000,-113436000,-102831000,-126774000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,176310000,59388000,42449000,58665000
totalRevenue,4733962000,4099403000,4245321000,3975454000
totalOperatingExpenses,3763736000,3603670000,3866342000,3609247000
costOfRevenue,1444093000,1345024000,1550568000,1468800000
totalOtherIncomeExpenseNet,-356000,-169600000,-103240000,-185086000
discontinuedOperations,,,,
netIncomeFromContinuingOps,793560000,266745000,233290000,122456000
netIncomeApplicableToCommonShares,793560000,266745000,233290000,122456000
