Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,999772000,666025000,680895000,640818000
minorityInterest,,,,
netIncome,760806000,506035000,516320000,489585000
sellingGeneralAdministrative,360668000,314565000,311784000,292676000
grossProfit,2022753000,1621690000,1664290000,1460670000
ebit,1045530000,725419000,798025000,681021000
operatingIncome,1045530000,725419000,798025000,681021000
otherOperatingExpenses,59462000,54331000,55336000,51080000
interestExpense,-46251000,-47580000,-54684000,-40427000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,238966000,159990000,164575000,151233000
totalRevenue,12168302000,9636573000,9165258000,8614874000
totalOperatingExpenses,11122772000,8911154000,8367233000,7933853000
costOfRevenue,10145549000,8014883000,7500968000,7154204000
totalOtherIncomeExpenseNet,-45758000,-59394000,-117130000,-40203000
discontinuedOperations,,,,
netIncomeFromContinuingOps,760806000,506035000,516320000,489585000
netIncomeApplicableToCommonShares,760806000,506035000,516320000,489585000
