Breakdown,2021-09-30,2020-09-30,2019-09-30,2018-09-30
researchDevelopment,275000000,274000000,319000000,310000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2614000000,903000000,1056000000,1546000000
minorityInterest,1191000000,1086000000,1063000000,1294000000
netIncome,1637000000,631000000,5674000000,2162000000
sellingGeneralAdministrative,4459000000,5387000000,5713000000,5440000000
grossProfit,8059000000,7411000000,7693000000,7667000000
ebit,3325000000,1750000000,1661000000,1917000000
operatingIncome,3325000000,1750000000,1661000000,1917000000
otherOperatingExpenses,,,,
interestExpense,-219000000,-240000000,-335000000,-409000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,868000000,108000000,-233000000,197000000
totalRevenue,23668000000,22317000000,23968000000,23400000000
totalOperatingExpenses,20343000000,20567000000,22307000000,21483000000
costOfRevenue,15609000000,14906000000,16275000000,15733000000
totalOtherIncomeExpenseNet,-711000000,-847000000,-605000000,-371000000
discontinuedOperations,124000000,124000000,4574000000,987000000
netIncomeFromContinuingOps,1746000000,795000000,1289000000,1349000000
netIncomeApplicableToCommonShares,1637000000,631000000,5674000000,2162000000
