Breakdown,2021-06-30,2020-06-30,2019-06-30,2018-06-30
researchDevelopment,109047000,109988000,96378000,90340000
effectOfAccountingCharges,,,,
incomeBeforeTax,397725000,381076000,347235000,356158000
minorityInterest,,,,
netIncome,311469000,296668000,271885000,365034000
sellingGeneralAdministrative,187060000,197988000,185939000,171710000
grossProfit,694826000,688603000,629661000,617659000
ebit,398719000,380627000,347344000,355609000
operatingIncome,398719000,380627000,347344000,355609000
otherOperatingExpenses,,,,
interestExpense,-1144000,-688000,-926000,-1920000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,86256000,84408000,75350000,-8876000
totalRevenue,1758225000,1697067000,1552691000,1470797000
totalOperatingExpenses,1359506000,1316440000,1205347000,1115188000
costOfRevenue,1063399000,1008464000,923030000,853138000
totalOtherIncomeExpenseNet,-994000,449000,-109000,549000
discontinuedOperations,,,,
netIncomeFromContinuingOps,311469000,296668000,271885000,365034000
netIncomeApplicableToCommonShares,311469000,296668000,271885000,365034000
