Breakdown,2021-10-01,2020-10-02,2019-09-27,2018-09-28
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,695602000,441203000,350959000,330981000
minorityInterest,692518000,39955000,53967000,90009000
netIncome,477030000,491845000,847979000,163431000
sellingGeneralAdministrative,2035066000,1719484000,1758922000,1523567000
grossProfit,3133166000,2588981000,2520793000,2162437000
ebit,1098100000,869497000,761871000,638870000
operatingIncome,1098100000,869497000,761871000,638870000
otherOperatingExpenses,,,,
interestExpense,-72714000,-62206000,-83867000,-76760000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,274781000,55320000,36954000,325632000
totalRevenue,14092632000,13566975000,12737868000,10579773000
totalOperatingExpenses,12994532000,12697478000,11975997000,9940903000
costOfRevenue,10959466000,10977994000,10217075000,8417336000
totalOtherIncomeExpenseNet,-402498000,-428294000,-410912000,-307889000
discontinuedOperations,10008000,137984000,557019000,167616000
netIncomeFromContinuingOps,420821000,385883000,314005000,5349000
netIncomeApplicableToCommonShares,419723000,491745000,846769000,162623000
