Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,853076000,1003855000,410244000,500063000
minorityInterest,224273000,77994000,81958000,100931000
netIncome,844059000,1000833000,410605000,497795000
sellingGeneralAdministrative,99830000,84517000,94342000,83997000
grossProfit,946674000,714924000,821933000,836203000
ebit,451524000,341452000,449712000,435573000
operatingIncome,451524000,341452000,449712000,435573000
otherOperatingExpenses,,,,
interestExpense,-204133000,-186904000,-177395000,-183339000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,3380000,978000,-3317000,1600000
totalRevenue,1364585000,1057893000,1158884000,1164762000
totalOperatingExpenses,913061000,716441000,709172000,729189000
costOfRevenue,417911000,342969000,336951000,328559000
totalOtherIncomeExpenseNet,401552000,662403000,-39468000,64490000
discontinuedOperations,,,,
netIncomeFromContinuingOps,849696000,1002877000,413561000,498463000
netIncomeApplicableToCommonShares,815601000,971230000,337389000,429708000
