Breakdown,2022-06-30,2021-06-30,2020-06-30,2019-06-30
researchDevelopment,1105254000,928487000,863864000,711030000
effectOfAccountingCharges,,,,
incomeBeforeTax,3489237000,2360454000,1316711000,1296231000
minorityInterest,-2261000,-1912000,15586000,18585000
netIncome,3321807000,2078292000,1216785000,1175617000
sellingGeneralAdministrative,860007000,731441000,735977000,600848000
grossProfit,5619442000,4146569000,3356863000,2699527000
ebit,3654181000,2486641000,1757022000,1387649000
operatingIncome,3654181000,2486641000,1757022000,1387649000
otherOperatingExpenses,,,,
interestExpense,-160339000,-157328000,-160274000,-124604000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,167177000,283101000,101686000,121214000
totalRevenue,9211883000,6918734000,5806424000,4568904000
totalOperatingExpenses,5557702000,4432093000,4049402000,3181255000
costOfRevenue,3592441000,2772165000,2449561000,1869377000
totalOtherIncomeExpenseNet,-164944000,-126187000,-440311000,-91418000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3322060000,2077353000,1215025000,1175017000
netIncomeApplicableToCommonShares,3321807000,2078292000,1216785000,1175617000
