Breakdown,2022-02-28,2021-02-28,2020-02-29,2019-02-28
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1492346000,965257000,1160986000,1112806000
minorityInterest,,,,
netIncome,1151297000,746919000,888433000,842413000
sellingGeneralAdministrative,2339820000,1744719000,1750168000,1730328000
grossProfit,4089049000,2941935000,3178370000,2919281000
ebit,1537273000,1002860000,1238303000,1189006000
operatingIncome,1537273000,1002860000,1238303000,1189006000
otherOperatingExpenses,,,,-53000.0
interestExpense,-94095000,-86178000,-83007000,-75792000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,341049000,218338000,272553000,270393000
totalRevenue,33197212000,20092149000,21424087000,19146000000
totalOperatingExpenses,31659939000,19089289000,20185784000,17956994000
costOfRevenue,29108163000,17150214000,18245717000,16226719000
totalOtherIncomeExpenseNet,-44927000,-37603000,-77317000,-76200000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1151297000,746919000,888433000,842413000
netIncomeApplicableToCommonShares,1151297000,746919000,888433000,842413000
