Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,12425000000,9749000000,10786000000,8225000000
minorityInterest,1861000000,1985000000,2117000000,2077000000
netIncome,9771000000,7747000000,8920000000,6434000000
sellingGeneralAdministrative,11984000000,9579000000,12011000000,11013000000
grossProfit,23298000000,19581000000,22647000000,21233000000
ebit,11321000000,9990000000,10625000000,10203000000
operatingIncome,11321000000,9990000000,10625000000,10203000000
otherOperatingExpenses,-7000000,12000000,11000000,17000000
interestExpense,-1597000000,-1437000000,-946000000,-950000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2621000000,1981000000,1801000000,1749000000
totalRevenue,38655000000,33014000000,37266000000,34300000000
totalOperatingExpenses,27334000000,23024000000,26641000000,24097000000
costOfRevenue,15357000000,13433000000,14619000000,13067000000
totalOtherIncomeExpenseNet,1104000000,-241000000,161000000,-1978000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,9804000000,7768000000,8985000000,6476000000
netIncomeApplicableToCommonShares,9771000000,7747000000,8920000000,6434000000
