Breakdown,2021-12-31,2021-01-01,2020-01-03,2018-12-28
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,967000000,781000000,866000000,610000000
minorityInterest,53000000,9000000,4000000,3000000
netIncome,753000000,628000000,667000000,581000000
sellingGeneralAdministrative,860000000,770000000,689000000,729000000
grossProfit,2014000000,1737000000,1548000000,1504000000
ebit,1163000000,1035000000,899000000,775000000
operatingIncome,1163000000,1035000000,899000000,775000000
otherOperatingExpenses,,,,
interestExpense,-185000000,-182000000,-147000000,-145000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,208000000,152000000,196000000,28000000
totalRevenue,13737000000,12297000000,11094000000,10194000000
totalOperatingExpenses,12574000000,11262000000,10195000000,9419000000
costOfRevenue,11723000000,10560000000,9546000000,8690000000
totalOtherIncomeExpenseNet,-196000000,-254000000,-33000000,-165000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,759000000,629000000,670000000,582000000
netIncomeApplicableToCommonShares,753000000,628000000,667000000,581000000
