Breakdown,2021-12-31,2021-01-01,2020-01-03,2019-06-28
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2283000000,1322000000,1816000000,1113000000
minorityInterest,106000000,117000000,157000000,157000000
netIncome,1846000000,1119000000,1644000000,949000000
sellingGeneralAdministrative,2706000000,2786000000,2684000000,991000000
grossProfit,5376000000,5339000000,5358000000,2334000000
ebit,2670000000,2553000000,2674000000,1343000000
operatingIncome,2670000000,2553000000,2674000000,1343000000
otherOperatingExpenses,,,,
interestExpense,-265000000,-254000000,-246000000,-167000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,440000000,234000000,146000000,160000000
totalRevenue,17814000000,18194000000,18526000000,6801000000
totalOperatingExpenses,15144000000,15641000000,15852000000,5458000000
costOfRevenue,12438000000,12855000000,13168000000,4467000000
totalOtherIncomeExpenseNet,-387000000,-1231000000,-858000000,-230000000
discontinuedOperations,-1000000,-2000000,-2000000,-4000000
netIncomeFromContinuingOps,1843000000,1088000000,1670000000,953000000
netIncomeApplicableToCommonShares,1846000000,1119000000,1644000000,947000000
