Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3126600000,2219100000,1104900000,1268300000
minorityInterest,20600000,20700000,20100000,19100000
netIncome,2377300000,1556100000,823800000,883700000
sellingGeneralAdministrative,1853900000,1672000000,1624500000,1578400000
grossProfit,5624300000,4952800000,3252500000,3176400000
ebit,3489200000,3032900000,1384800000,1366300000
operatingIncome,3489200000,3032900000,1384800000,1366300000
otherOperatingExpenses,,,,
interestExpense,-212100000,-207400000,-240700000,-244200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,747100000,662100000,280000000,384400000
totalRevenue,16120900000,13978500000,11554800000,11333400000
totalOperatingExpenses,12631700000,10945600000,10170000000,9967100000
costOfRevenue,10496600000,9025700000,8302300000,8157000000
totalOtherIncomeExpenseNet,-362600000,-813800000,-279900000,-98000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2379500000,1557000000,824900000,883900000
netIncomeApplicableToCommonShares,2377300000,1556100000,823800000,883700000
