Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1422067000,890007000,758745000,678960000
minorityInterest,38917000,39659000,63781000,56454000
netIncome,1090873000,638423000,541260000,480118000
sellingGeneralAdministrative,3584487000,3324249000,3581258000,3353278000
grossProfit,5321981000,4598990000,4872448000,4574857000
ebit,1477502000,1002449000,1000420000,947366000
operatingIncome,1477502000,1002449000,1000420000,947366000
otherOperatingExpenses,,,,
interestExpense,-72078000,-103784000,-138504000,-146377000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,330591000,249498000,215330000,191395000
totalRevenue,13088504000,11628830000,12506109000,11876674000
totalOperatingExpenses,11611002000,10626381000,11505689000,10929308000
costOfRevenue,7766523000,7029840000,7633661000,7301817000
totalOtherIncomeExpenseNet,-55435000,-112442000,-241675000,-268406000
discontinuedOperations,648000,-198000,645000,-4397000
netIncomeFromContinuingOps,1091476000,640509000,543415000,487565000
netIncomeApplicableToCommonShares,1090873000,638423000,541260000,480118000
