Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7550000000,8235000000,7241000000,5838000000
minorityInterest,,23000000.0,44000000.0,55000000.0
netIncome,6315000000,6833000000,6230000000,5046000000
sellingGeneralAdministrative,1241000000,-241000000,608000000,777000000
grossProfit,9097000000,8681000000,8367000000,7370000000
ebit,7821000000,8877000000,7698000000,6644000000
operatingIncome,7821000000,8877000000,7698000000,6644000000
otherOperatingExpenses,35000000,45000000,61000000,-51000000
interestExpense,-569000000,-591000000,-653000000,-668000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1235000000,1347000000,1011000000,792000000
totalRevenue,67044000000,65398000000,59812000000,53762000000
totalOperatingExpenses,59223000000,56521000000,52114000000,47118000000
costOfRevenue,57947000000,56717000000,51445000000,46392000000
totalOtherIncomeExpenseNet,-271000000,-642000000,-457000000,-806000000
discontinuedOperations,,-55000000.0,-55000000.0,-55000000.0
netIncomeFromContinuingOps,6315000000,6888000000,6230000000,5046000000
netIncomeApplicableToCommonShares,6315000000,6833000000,6230000000,5046000000
