Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1638000000,423000000,919000000,1885000000
minorityInterest,,,,
netIncome,1405000000,499000000,886000000,1641000000
sellingGeneralAdministrative,2821000000,2565000000,2691000000,2418000000
grossProfit,5304000000,3812000000,4589000000,5167000000
ebit,2009000000,795000000,1441000000,2343000000
operatingIncome,2009000000,795000000,1441000000,2343000000
otherOperatingExpenses,437000000,415000000,431000000,397000000
interestExpense,-270000000,-284000000,-326000000,-297000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,233000000,-76000000,33000000,244000000
totalRevenue,19230000000,17439000000,17258000000,16424000000
totalOperatingExpenses,17221000000,16644000000,15817000000,14081000000
costOfRevenue,13926000000,13627000000,12669000000,11257000000
totalOtherIncomeExpenseNet,-371000000,-372000000,-522000000,-458000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1405000000,499000000,886000000,1641000000
netIncomeApplicableToCommonShares,1405000000,499000000,886000000,1641000000
