Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,585000000,557000000,626000000,560000000
minorityInterest,,200000000.0,200000000.0,200000000.0
netIncome,659000000,614000000,557000000,512000000
sellingGeneralAdministrative,9000000,24000000,32000000,17000000
grossProfit,1556000000,1463000000,1456000000,1305000000
ebit,786000000,716000000,746000000,677000000
operatingIncome,786000000,716000000,746000000,677000000
otherOperatingExpenses,104000000,108000000,111000000,104000000
interestExpense,-292000000,-285000000,-283000000,-257000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-74000000,-57000000,69000000,48000000
totalRevenue,3669000000,3416000000,3648000000,3534000000
totalOperatingExpenses,2883000000,2700000000,2902000000,2857000000
costOfRevenue,2113000000,1953000000,2192000000,2229000000
totalOtherIncomeExpenseNet,-201000000,-159000000,-120000000,-117000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,659000000,614000000,557000000,512000000
netIncomeApplicableToCommonShares,659000000,614000000,557000000,512000000
