Breakdown,2022-01-28,2021-01-29,2020-01-31,2019-02-01
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,11208000000,7739000000,5623000000,3394000000
minorityInterest,,,,
netIncome,8442000000,5835000000,4281000000,2314000000
sellingGeneralAdministrative,18139000000,17292000000,15282000000,16461000000
grossProfit,32056000000,29582000000,22943000000,22908000000
ebit,12255000000,10892000000,6422000000,4970000000
operatingIncome,12255000000,10892000000,6422000000,4970000000
otherOperatingExpenses,,,,
interestExpense,-897000000,-872000000,-718000000,-652000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2766000000,1904000000,1342000000,1080000000
totalRevenue,96250000000,89597000000,72148000000,71309000000
totalOperatingExpenses,83995000000,78705000000,65726000000,66339000000
costOfRevenue,64194000000,60015000000,49205000000,48401000000
totalOtherIncomeExpenseNet,-1047000000,-3153000000,-799000000,-1576000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,8442000000,5835000000,4281000000,2314000000
netIncomeApplicableToCommonShares,8409000000,5811000000,4268000000,2307000000
