Breakdown,2022-06-26,2021-06-27,2020-06-28,2019-06-30
researchDevelopment,1604248000,1493408000,1252412000,1191320000
effectOfAccountingCharges,,,,
incomeBeforeTax,5193114000,4370804000,2574978000,2446571000
minorityInterest,,,,
netIncome,4605286000,3908458000,2251753000,2191430000
sellingGeneralAdministrative,885737000,829875000,682479000,702407000
grossProfit,7871807000,6805306000,4608693000,4358459000
ebit,5381822000,4482023000,2673802000,2464732000
operatingIncome,5381822000,4482023000,2673802000,2464732000
otherOperatingExpenses,,,,
interestExpense,,-208597000.0,-177440000.0,-117263000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,587828000,462346000,323225000,255141000
totalRevenue,17227039000,14626150000,10044736000,9653559000
totalOperatingExpenses,11845217000,10144127000,7370934000,7188827000
costOfRevenue,9355232000,7820844000,5436043000,5295100000
totalOtherIncomeExpenseNet,-188708000,-111219000,-98824000,-18161000
discontinuedOperations,,,,
netIncomeFromContinuingOps,4605286000,3908458000,2251753000,2191430000
netIncomeApplicableToCommonShares,4605286000,3908458000,2251753000,2191430000
