Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2701000000,-782000000,-4766000000,-1563000000
minorityInterest,,,,
netIncome,2033000000,-1232000000,-5269000000,-1733000000
sellingGeneralAdministrative,3181000000,3323000000,3557000000,4165000000
grossProfit,11199000000,11778000000,12324000000,12581000000
ebit,4020000000,3745000000,3938000000,3296000000
operatingIncome,4020000000,3745000000,3938000000,3296000000
otherOperatingExpenses,,,,
interestExpense,-1522000000,-1668000000,-2021000000,-2177000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,668000000,450000000,503000000,170000000
totalRevenue,19687000000,20712000000,21458000000,22580000000
totalOperatingExpenses,15667000000,16967000000,17520000000,19284000000
costOfRevenue,8488000000,8934000000,9134000000,9999000000
totalOtherIncomeExpenseNet,-1319000000,-4527000000,-8704000000,-4859000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2033000000,-1232000000,-5269000000,-1733000000
netIncomeApplicableToCommonShares,2033000000,-1232000000,-5269000000,-1733000000
