Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1325000000,-4256000000,2957000000,3164000000
minorityInterest,,,,
netIncome,977000000,-3074000000,2300000000,2465000000
sellingGeneralAdministrative,196000000,168000000,225000000,227000000
grossProfit,2172000000,-1875000000,7020000000,7245000000
ebit,-1171000000,-5041000000,2948000000,3180000000
operatingIncome,-1171000000,-5041000000,2948000000,3180000000
otherOperatingExpenses,1875000000,1743000000,2628000000,2637000000
interestExpense,-431000000,-342000000,-82000000,-93000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,348000000,-1182000000,657000000,699000000
totalRevenue,15790000000,9048000000,22428000000,21965000000
totalOperatingExpenses,16961000000,14089000000,19480000000,18785000000
costOfRevenue,13618000000,10923000000,15408000000,14720000000
totalOtherIncomeExpenseNet,2496000000,785000000,9000000,-16000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,977000000,-3074000000,2300000000,2465000000
netIncomeApplicableToCommonShares,977000000,-3074000000,2300000000,2465000000
