Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-1474000000,-1876000000,3600000000,3326000000
minorityInterest,252000000,565000000,1320000000,1061000000
netIncome,-961000000,-1685000000,2698000000,2413000000
sellingGeneralAdministrative,1207000000,1039000000,1506000000,1732000000
grossProfit,2828000000,1633000000,9958000000,10845000000
ebit,-662000000,-1320000000,3446000000,3901000000
operatingIncome,-662000000,-1320000000,3446000000,3901000000
otherOperatingExpenses,1220000000,812000000,3930000000,4090000000
interestExpense,-621000000,-523000000,-449000000,-446000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-5000000,24000000,432000000,375000000
totalRevenue,4234000000,2940000000,12127000000,13729000000
totalOperatingExpenses,4896000000,4260000000,8681000000,9828000000
costOfRevenue,1406000000,1307000000,2169000000,2884000000
totalOtherIncomeExpenseNet,-812000000,-556000000,154000000,-575000000
discontinuedOperations,193000000,-243000000,136000000,136000000
netIncomeFromContinuingOps,-1469000000,-1900000000,3168000000,2951000000
netIncomeApplicableToCommonShares,-961000000,-1685000000,2698000000,2413000000
