Breakdown,2022-05-29,2021-05-30,2020-05-31,2019-05-26
researchDevelopment,,12900000.0,15400000.0,15400000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,272700000,408300000,478200000,620800000
minorityInterest,,,,
netIncome,200900000,317800000,365900000,478600000
sellingGeneralAdministrative,406500000,336600000,322800000,316400000
grossProfit,850900000,832000000,895200000,1003500000
ebit,444400000,482500000,557000000,671700000
operatingIncome,444400000,482500000,557000000,671700000
otherOperatingExpenses,,,,
interestExpense,-107700000,-118300000,-108000000,-107100000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,71800000,90500000,112300000,133600000
totalRevenue,4098900000,3670900000,3792400000,3756500000
totalOperatingExpenses,3654500000,3188400000,3235400000,3084800000
costOfRevenue,3248000000,2838900000,2897200000,2753000000
totalOtherIncomeExpenseNet,-171700000,-74200000,-78800000,-50900000
discontinuedOperations,,,,
netIncomeFromContinuingOps,200900000,317800000,365900000,487200000
netIncomeApplicableToCommonShares,200900000,317800000,365900000,467800000
