Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,124000000,113000000,111000000,115000000
effectOfAccountingCharges,,,,
incomeBeforeTax,6779000000,1379000000,4045000000,5309000000
minorityInterest,130000000,133000000,135000000,139000000
netIncome,5610000000,1420000000,3390000000,4688000000
sellingGeneralAdministrative,1261000000,1137000000,1199000000,1037000000
grossProfit,8776000000,3394000000,5426000000,6475000000
ebit,7391000000,2144000000,4116000000,5323000000
operatingIncome,7391000000,2144000000,4116000000,5323000000
otherOperatingExpenses,,,,
interestExpense,-526000000,-533000000,-354000000,-362000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1163000000,-43000000,648000000,613000000
totalRevenue,46173000000,27753000000,34727000000,39004000000
totalOperatingExpenses,38782000000,25609000000,30611000000,33681000000
costOfRevenue,37397000000,24359000000,29301000000,32529000000
totalOtherIncomeExpenseNet,-612000000,-765000000,-71000000,-14000000
discontinuedOperations,-6000000,-2000000,-7000000,-8000000
netIncomeFromContinuingOps,5616000000,1422000000,3397000000,4696000000
netIncomeApplicableToCommonShares,5596000000,1417000000,3384000000,4682000000
