Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2182000000,-1464000000,1119000000,834000000
minorityInterest,1329000000,1321000000,2811000000,2868000000
netIncome,1578000000,-931000000,932000000,636000000
sellingGeneralAdministrative,2931000000,3989000000,4851000000,4806000000
grossProfit,5537000000,3810000000,6660000000,6236000000
ebit,2606000000,-179000000,1809000000,1430000000
operatingIncome,2606000000,-179000000,1809000000,1430000000
otherOperatingExpenses,,,,
interestExpense,-424000000,-515000000,-591000000,-574000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,479000000,-173000000,248000000,128000000
totalRevenue,14657000000,12549000000,14931000000,14066000000
totalOperatingExpenses,12051000000,12728000000,13122000000,12636000000
costOfRevenue,9120000000,8739000000,8271000000,7830000000
totalOtherIncomeExpenseNet,-424000000,-1285000000,-690000000,-596000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1703000000,-1291000000,871000000,706000000
netIncomeApplicableToCommonShares,1578000000,-931000000,932000000,636000000
