Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1180000000,-466000000,1599000000,2345000000
minorityInterest,,,,
netIncome,1099000000,-267000000,1273000000,1907000000
sellingGeneralAdministrative,1311000000,1038000000,1789000000,1587000000
grossProfit,2653000000,1442000000,4057000000,3909000000
ebit,1712000000,467000000,2037000000,2521000000
operatingIncome,1712000000,467000000,2037000000,2521000000
otherOperatingExpenses,-590000000,-293000000,-11000000,-425000000
interestExpense,-420000000,-445000000,-394000000,-340000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,81000000,-199000000,326000000,438000000
totalRevenue,3415000000,2119000000,5373000000,5215000000
totalOperatingExpenses,1703000000,1652000000,3336000000,2694000000
costOfRevenue,762000000,677000000,1316000000,1306000000
totalOtherIncomeExpenseNet,-532000000,-933000000,-438000000,-176000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1099000000,-267000000,1273000000,1907000000
netIncomeApplicableToCommonShares,1099000000,-267000000,1273000000,1907000000
