Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,688000000,1131000000,914000000,907000000
minorityInterest,257000000,226000000,179000000,180000000
netIncome,410000000,1224000000,935000000,734000000
sellingGeneralAdministrative,1843000000,1327000000,1295000000,1264000000
grossProfit,2863000000,2587000000,2371000000,2367000000
ebit,1020000000,1260000000,1076000000,1103000000
operatingIncome,1020000000,1260000000,1076000000,1103000000
otherOperatingExpenses,,,,
interestExpense,-278000000,-144000000,-159000000,-156000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,210000000,269000000,230000000,221000000
totalRevenue,8375000000,7188000000,6707000000,6654000000
totalOperatingExpenses,7355000000,5928000000,5631000000,5551000000
costOfRevenue,5512000000,4601000000,4336000000,4287000000
totalOtherIncomeExpenseNet,-332000000,-129000000,-162000000,-196000000
discontinuedOperations,,414000000.0,296000000.0,98000000.0
netIncomeFromContinuingOps,478000000,862000000,684000000,686000000
netIncomeApplicableToCommonShares,406000000,1215000000,929000000,727000000
