Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,10307000000,7760000000,9731000000,7204000000
minorityInterest,100000000,126000000,98000000,94000000
netIncome,8687000000,6411000000,8118000000,5859000000
sellingGeneralAdministrative,7890000000,6559000000,6694000000,6073000000
grossProfit,18884000000,15301000000,16883000000,14950000000
ebit,10268000000,8162000000,9667000000,8418000000
operatingIncome,10268000000,8162000000,9667000000,8418000000
otherOperatingExpenses,,,,
interestExpense,-431000000,-380000000,-224000000,-186000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1620000000,1349000000,1613000000,1345000000
totalRevenue,18884000000,15301000000,16883000000,14950000000
totalOperatingExpenses,8616000000,7139000000,7216000000,6532000000
costOfRevenue,0,0,0,0
totalOtherIncomeExpenseNet,39000000,-402000000,64000000,-1214000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,8687000000,6411000000,8118000000,5859000000
netIncomeApplicableToCommonShares,8687000000,6411000000,8118000000,5859000000
