Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,9127900000,6140700000,8018100000,7816100000
minorityInterest,,,,
netIncome,7545200000,4730500000,6025400000,5924300000
sellingGeneralAdministrative,2377800000,2245000000,1966900000,1985400000
grossProfit,12580200000,9752100000,11179400000,10832600000
ebit,9873100000,7213300000,8954700000,8625700000
operatingIncome,9873100000,7213300000,8954700000,8625700000
otherOperatingExpenses,-400000,-6800000,-4700000,6700000
interestExpense,-1185800000,-1218100000,-1121900000,-981200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1582700000,1410200000,1992700000,1891800000
totalRevenue,23222900000,19207800000,21364400000,21257900000
totalOperatingExpenses,13349800000,11994500000,12409700000,12632200000
costOfRevenue,10642700000,9455700000,10185000000,10425300000
totalOtherIncomeExpenseNet,-745200000,-1072600000,-936600000,-809600000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7545200000,4730500000,6025400000,5924300000
netIncomeApplicableToCommonShares,7545200000,4730500000,6025400000,5924300000
