Breakdown,2022-03-31,2021-03-31,2020-03-31,2019-03-31
researchDevelopment,989100000,836400000,877800000,826300000
effectOfAccountingCharges,,,,
incomeBeforeTax,1482500000,339500000,150400000,204500000
minorityInterest,,,,
netIncome,1285500000,349400000,570600000,355900000
sellingGeneralAdministrative,718900000,610300000,676600000,682900000
grossProfit,4449600000,3378800000,3242100000,2931300000
ebit,1879100000,999800000,693800000,748000000
operatingIncome,1879100000,999800000,693800000,748000000
otherOperatingExpenses,,,,
interestExpense,-257000000,-356900000,-497300000,-502900000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,197000000,-9900000,-420200000,-151400000
totalRevenue,6820900000,5438400000,5274200000,5349500000
totalOperatingExpenses,4941800000,4438600000,4580400000,4601500000
costOfRevenue,2371300000,2059600000,2032100000,2418200000
totalOtherIncomeExpenseNet,-396600000,-660300000,-543400000,-543500000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1285500000,349400000,570600000,355900000
netIncomeApplicableToCommonShares,1285500000,349400000,570600000,355900000
