Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,5504000000,4793000000,3946000000,4104000000
minorityInterest,54000000,76000000,76000000,76000000
netIncome,4300000000,3555000000,3929000000,3317000000
sellingGeneralAdministrative,6126000000,5952000000,5991000000,6411000000
grossProfit,11254000000,10446000000,10337000000,10352000000
ebit,4994000000,4300000000,4087000000,3765000000
operatingIncome,4994000000,4300000000,4087000000,3765000000
otherOperatingExpenses,,,85000000.0,85000000.0
interestExpense,-354000000,-515000000,-583000000,-446000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1190000000,1224000000,2000000,773000000
totalRevenue,28720000000,26581000000,25868000000,25938000000
totalOperatingExpenses,23726000000,22281000000,21781000000,22173000000
costOfRevenue,17466000000,16135000000,15531000000,15586000000
totalOtherIncomeExpenseNet,510000000,493000000,-141000000,339000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,4314000000,3569000000,3944000000,3331000000
netIncomeApplicableToCommonShares,4300000000,3555000000,3929000000,3317000000
