Breakdown,2022-04-29,2021-04-30,2020-04-24,2019-04-26
researchDevelopment,2746000000,2493000000,2331000000,2330000000
effectOfAccountingCharges,,,,
incomeBeforeTax,5517000000,3895000000,4055000000,5197000000
minorityInterest,171000000,174000000,135000000,121000000
netIncome,5039000000,3606000000,4789000000,4631000000
sellingGeneralAdministrative,10028000000,9866000000,9882000000,10273000000
grossProfit,21657000000,19762000000,19644000000,21493000000
ebit,6602000000,5515000000,5162000000,6709000000
operatingIncome,6602000000,5515000000,5162000000,6709000000
otherOperatingExpenses,548000000,105000000,513000000,417000000
interestExpense,-553000000,-925000000,-1092000000,-1444000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,456000000,265000000,-751000000,547000000
totalRevenue,31686000000,30117000000,28913000000,30557000000
totalOperatingExpenses,25084000000,24602000000,23751000000,23848000000
costOfRevenue,10029000000,10355000000,9269000000,9064000000
totalOtherIncomeExpenseNet,-1085000000,-1620000000,-1107000000,-1512000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5061000000,3630000000,4806000000,4650000000
netIncomeApplicableToCommonShares,5039000000,3606000000,4789000000,4631000000
