Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,8126000000,6927000000,6795000000,6307000000
minorityInterest,267000000,259000000,238000000,217000000
netIncome,6554000000,5407000000,5899000000,5123000000
sellingGeneralAdministrative,,,,
grossProfit,20712000000,20077000000,20484000000,20021000000
ebit,9044000000,7838000000,7856000000,7490000000
operatingIncome,9044000000,7838000000,7856000000,7490000000
otherOperatingExpenses,11668000000,12239000000,12628000000,12531000000
interestExpense,-920000000,-913000000,-955000000,-1122000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1551000000,1509000000,886000000,1179000000
totalRevenue,71080000000,67842000000,69620000000,67941000000
totalOperatingExpenses,62036000000,60004000000,61764000000,60451000000
costOfRevenue,50368000000,47765000000,49136000000,47920000000
totalOtherIncomeExpenseNet,-918000000,-911000000,-1061000000,-1183000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,6575000000,5418000000,5909000000,5128000000
netIncomeApplicableToCommonShares,6353000000,5191000000,5721000000,4982000000
