Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1461804000,-1511479000,2846725000,634006000
minorityInterest,5053668000,4741724000,5040700000,4059758000
netIncome,1254370000,-1032724000,2049146000,466772000
sellingGeneralAdministrative,2930016000,2489080000,2565859000,2183842000
grossProfit,4649531000,1709371000,5296183000,4844221000
ebit,563811000,-1990349000,1418500000,1330943000
operatingIncome,563811000,-1990349000,1418500000,1330943000
otherOperatingExpenses,,,,
interestExpense,-760593000,-676380000,-847932000,-769513000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,253415000,-191572000,632345000,50112000
totalRevenue,9454057000,4917133000,12462785000,11337604000
totalOperatingExpenses,8890246000,6907482000,11044285000,10006661000
costOfRevenue,4804526000,3207762000,7166602000,6493383000
totalOtherIncomeExpenseNet,897993000,478870000,1428225000,-696937000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1208389000,-1319907000,2214380000,583894000
netIncomeApplicableToCommonShares,1176072000,-997204000,2046433000,445446000
