Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1289993000,584374000,749545000,1049201000
minorityInterest,6791000,6842000,6607000,6245000
netIncome,1033159000,515595000,744211000,861704000
sellingGeneralAdministrative,1928482000,1768221000,1835949000,1711157000
grossProfit,3288830000,2533073000,2764345000,2885133000
ebit,1360348000,764852000,928396000,1173976000
operatingIncome,1360348000,764852000,928396000,1173976000
otherOperatingExpenses,,,,
interestExpense,-57252000,-52379000,-41272000,-38827000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,256445000,68647000,4974000,184346000
totalRevenue,11200613000,9552197000,9970672000,9983634000
totalOperatingExpenses,9840265000,8787345000,9042276000,8809658000
costOfRevenue,7911783000,7019124000,7206327000,7098501000
totalOtherIncomeExpenseNet,-70355000,-180478000,-178851000,-124775000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1033548000,515727000,744571000,864855000
netIncomeApplicableToCommonShares,1033159000,515595000,744211000,857812000
