Breakdown,2021-11-30,2020-11-30,2019-11-30,2018-11-30
researchDevelopment,87300000,68600000,67300000,69400000
effectOfAccountingCharges,,,,
incomeBeforeTax,948000000,922300000,860100000,776100000
minorityInterest,14500000,13900000,12500000,11300000
netIncome,755300000,747400000,702700000,933400000
sellingGeneralAdministrative,1310400000,1203000000,1081800000,1081800000
grossProfit,2505600000,2300400000,2145300000,2093300000
ebit,1107900000,1028800000,996200000,942100000
operatingIncome,1107900000,1028800000,996200000,942100000
otherOperatingExpenses,,,,
interestExpense,-136600000,-135600000,-165200000,-174600000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,192700000,174900000,157400000,-157300000
totalRevenue,6317900000,5601300000,5347400000,5302800000
totalOperatingExpenses,5210000000,4572500000,4351200000,4360700000
costOfRevenue,3812300000,3300900000,3202100000,3209500000
totalOtherIncomeExpenseNet,-159900000,-106500000,-136100000,-166000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,755300000,747400000,702700000,933400000
netIncomeApplicableToCommonShares,755300000,747400000,702700000,933400000
