Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,333923000,374359000,257424000,218086000
minorityInterest,,,,
netIncome,257888000,299377000,204902000,172852000
sellingGeneralAdministrative,94854000,87408000,75742000,66918000
grossProfit,485561000,498148000,353481000,302582000
ebit,337260000,374744000,250882000,212584000
operatingIncome,337260000,374744000,250882000,212584000
otherOperatingExpenses,,,,
interestExpense,-842000,-1142000,-1142000,-1142000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,76035000,74982000,52522000,45234000
totalRevenue,698951000,689125000,511352000,435565000
totalOperatingExpenses,361691000,314381000,260470000,222981000
costOfRevenue,213390000,190977000,157871000,132983000
totalOtherIncomeExpenseNet,-3337000,-385000,6542000,5502000
discontinuedOperations,,,,
netIncomeFromContinuingOps,257888000,299377000,204902000,172852000
netIncomeApplicableToCommonShares,257888000,299377000,204902000,172852000
