Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4208000000,2793000000,2439000000,2244000000
minorityInterest,213000000,156000000,150000000,73000000
netIncome,3143000000,2016000000,1742000000,1650000000
sellingGeneralAdministrative,,,,
grossProfit,8710000000,7434000000,7183000000,6560000000
ebit,4752000000,3663000000,2942000000,2983000000
operatingIncome,4752000000,3663000000,2942000000,2983000000
otherOperatingExpenses,3958000000,3771000000,4241000000,3577000000
interestExpense,-444000000,-515000000,-524000000,-290000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1034000000,747000000,666000000,574000000
totalRevenue,19820000000,17224000000,16652000000,14950000000
totalOperatingExpenses,15068000000,13561000000,13710000000,11967000000
costOfRevenue,11110000000,9790000000,9469000000,8390000000
totalOtherIncomeExpenseNet,-544000000,-870000000,-503000000,-739000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3174000000,2046000000,1773000000,1670000000
netIncomeApplicableToCommonShares,3143000000,2016000000,1742000000,1650000000
