Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,1977000000,1862000000,1874000000,1816000000
effectOfAccountingCharges,,,,
incomeBeforeTax,7214000000,6790000000,5643000000,7000000000
minorityInterest,71000000,64000000,63000000,52000000
netIncome,5921000000,5449000000,4517000000,5349000000
sellingGeneralAdministrative,6812000000,6667000000,6893000000,6527000000
grossProfit,16579000000,15685000000,15072000000,16110000000
ebit,7790000000,7156000000,6305000000,7767000000
operatingIncome,7790000000,7156000000,6305000000,7767000000
otherOperatingExpenses,,,,
interestExpense,-488000000,-529000000,-448000000,-350000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1285000000,1337000000,1114000000,1637000000
totalRevenue,35355000000,32184000000,32136000000,32765000000
totalOperatingExpenses,27565000000,25028000000,25831000000,24998000000
costOfRevenue,18776000000,16499000000,17064000000,16655000000
totalOtherIncomeExpenseNet,-576000000,-366000000,-662000000,-767000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,5929000000,5453000000,4529000000,5363000000
netIncomeApplicableToCommonShares,5921000000,5449000000,4517000000,5349000000
