Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1801419000,1626157000,1415962000,1293272000
minorityInterest,,,,
netIncome,1377475000,1409594000,1107835000,993004000
sellingGeneralAdministrative,1305746000,1090527000,1104346000,985156000
grossProfit,3108513000,2723880000,2518585000,2295375000
ebit,1802767000,1633353000,1414239000,1310219000
operatingIncome,1802767000,1633353000,1414239000,1310219000
otherOperatingExpenses,,,,
interestExpense,-19000,-39000,-56000,-60000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,423944000,216563000,308127000,300268000
totalRevenue,5541352000,4598638000,4200819000,3807183000
totalOperatingExpenses,3738585000,2965285000,2786580000,2496964000
costOfRevenue,2432839000,1874758000,1682234000,1511808000
totalOtherIncomeExpenseNet,-1348000,-7196000,1723000,-16947000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1377475000,1409594000,1107835000,993004000
netIncomeApplicableToCommonShares,1377475000,1409594000,1107835000,993004000
