Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2232600000,87100000,-1315500000,547000000
minorityInterest,144400000,173800000,182100000,207400000
netIncome,1630600000,666100000,-1067400000,470000000
sellingGeneralAdministrative,430500000,371500000,354100000,341100000
grossProfit,3233900000,1055900000,897300000,1498400000
ebit,2671900000,502200000,383400000,991400000
operatingIncome,2671900000,502200000,383400000,991400000
otherOperatingExpenses,131500000,182200000,159800000,165900000
interestExpense,-194300000,-214100000,-216000000,-215800000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,597700000,-578500000,-224700000,77100000
totalRevenue,12357400000,8681700000,8906300000,9587300000
totalOperatingExpenses,9685500000,8179500000,8522900000,8595900000
costOfRevenue,9123500000,7625800000,8009000000,8088900000
totalOtherIncomeExpenseNet,-439300000,-415100000,-1698900000,-444400000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1634900000,665600000,-1090800000,469900000
netIncomeApplicableToCommonShares,1630600000,666100000,-1067400000,470000000
