Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,111564000,101053000,98334000,81411000
effectOfAccountingCharges,,,,
incomeBeforeTax,858136000,686225000,603318000,629896000
minorityInterest,,,,
netIncome,725983000,601822000,563648000,507885000
sellingGeneralAdministrative,376737000,332158000,322131000,292859000
grossProfit,1684860000,1403686000,1269835000,1146649000
ebit,1101663000,883350000,754961000,694744000
operatingIncome,1101663000,883350000,754961000,694744000
otherOperatingExpenses,,,15000000.0,15000000.0
interestExpense,-159614000,-156324000,-148041000,-133114000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,132153000,84403000,39670000,122011000
totalRevenue,2043544000,1695390000,1557796000,1433984000
totalOperatingExpenses,941881000,812040000,802835000,739240000
costOfRevenue,358684000,291704000,287961000,287335000
totalOtherIncomeExpenseNet,-243527000,-197125000,-151643000,-64848000
discontinuedOperations,,,,
netIncomeFromContinuingOps,725983000,601822000,563648000,507885000
netIncomeApplicableToCommonShares,725983000,601822000,563648000,507885000
