Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,19668000000,14418000000,11301000000,11237000000
minorityInterest,1157000000,1368000000,1148000000,1160000000
netIncome,15034000000,10996000000,9042000000,8748000000
sellingGeneralAdministrative,29827000000,24901000000,22890000000,21979000000
grossProfit,53295000000,43363000000,36851000000,35698000000
ebit,0,0,0,0
operatingIncome,23464000000,17701000000,13800000000,13719000000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,4548000000,3239000000,2064000000,2350000000
totalRevenue,59755000000,48757000000,41538000000,40107000000
totalOperatingExpenses,36291000000,31056000000,27738000000,26388000000
costOfRevenue,6460000000,5394000000,4687000000,4409000000
totalOtherIncomeExpenseNet,-3796000000,-3283000000,-2499000000,-2482000000
discontinuedOperations,,,,-4000000.0
netIncomeFromContinuingOps,15120000000,11179000000,9237000000,8887000000
netIncomeApplicableToCommonShares,14566000000,10500000000,8512000000,8222000000
