Breakdown,2021-12-31,2020-12-31,2019-12-31,2018-12-31
researchDevelopment,241049000,169811000,151960000,132030000
effectOfAccountingCharges,,,,
incomeBeforeTax,256148000,630952000,532420000,462411000
minorityInterest,9187000,1682000,1014803000,774363000
netIncome,277723000,162329000,453838000,626961000
sellingGeneralAdministrative,976140000,794641000,683578000,601886000
grossProfit,2146329000,1758963000,1524074000,1319850000
ebit,859179000,750315000,652054000,549789000
operatingIncome,859179000,750315000,652054000,549789000
otherOperatingExpenses,,,,
interestExpense,-130493000,-130624000,-111008000,-94568000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-19897000,43273000,15080000,11307000
totalRevenue,2983277000,2391269000,2051258000,1729850000
totalOperatingExpenses,2124098000,1640954000,1399204000,1180061000
costOfRevenue,836948000,632306000,527184000,410000000
totalOtherIncomeExpenseNet,-603031000,-119363000,-119634000,-87378000
discontinuedOperations,509000,-366070000,49187000,306643000
netIncomeFromContinuingOps,276045000,587679000,517340000,451104000
netIncomeApplicableToCommonShares,277723000,162329000,453838000,626961000
